"","LHS","RHS","support","confidence","coverage","lift","count","LHS.name","RHS.name","cross.aisle"
"5","{4116}","{4103}",8.11385957859564e-05,0.648793565683646,0.000125060728215544,713.254662043245,242,"tasty treasure gravy","cat food dinner",FALSE
"7524","{4109,4110,4111}","{4101}",4.96219511418246e-05,0.91358024691358,5.43159194930782e-05,674.288463007262,148,"cat food tuna, beef cat food, food cat salmon","feast cat food",FALSE
"540","{4109,4114}","{4101}",5.06278015028075e-05,0.838888888888889,6.03510216589758e-05,619.16082515329,151,"cat food tuna, cat food turkey","feast cat food",FALSE
"543","{4109,4110}","{4101}",0.000105279004449547,0.837333333333333,0.000125731295122866,618.012712364926,314,"cat food tuna, beef cat food","feast cat food",FALSE
"742","{4110,4114}","{4101}",6.87331080005002e-05,0.823293172690763,8.34855799615832e-05,607.650055803516,205,"beef cat food, cat food turkey","feast cat food",FALSE
"7526","{4101,4110,4111}","{4109}",4.96219511418246e-05,0.354066985645933,0.000140148483630288,565.020247247332,148,"feast cat food, beef cat food, food cat salmon","cat food tuna",FALSE
"22","{7602}","{7609}",5.66629036687051e-05,0.2704,0.000209552158538111,544.184743859649,169,"dal lentil bean","indian cuisine spinach",FALSE
"11665","{9207,9211,9216,9221}","{9202}",6.06863051126368e-05,0.393478260869565,0.000154230388684049,522.747875472063,181,"food baby pear, chicken food stage, stage just apple, baby food stage","dinner vegetable turkey",FALSE
"11655","{9207,9211,9212,9216}","{9202}",4.99572345954855e-05,0.393139841688654,0.00012707242893751,522.298275264293,149,"food baby pear, chicken food stage, apple food baby, stage just apple","dinner vegetable turkey",FALSE
"542","{4101,4114}","{4109}",5.06278015028075e-05,0.317894736842105,0.000159259640488964,507.296557123145,151,"feast cat food, cat food turkey","cat food tuna",FALSE
"11685","{9207,9211,9212,9221}","{9202}",7.30917928980929e-05,0.381118881118881,0.000191782135494079,506.328062360802,218,"food baby pear, chicken food stage, apple food baby, baby food stage","dinner vegetable turkey",FALSE
"11660","{9211,9212,9216,9221}","{9202}",5.39806360394173e-05,0.379716981132075,0.000142160184352254,504.465595453208,161,"chicken food stage, apple food baby, stage just apple, baby food stage","dinner vegetable turkey",FALSE
"797","{4110,4111}","{4101}",0.000140148483630288,0.679674796747967,0.000206199324001501,501.649281048119,418,"beef cat food, food cat salmon","feast cat food",FALSE
"25","{4115}","{4103}",8.91853986738198e-05,0.443333333333333,0.000201170072196586,487.38086128517,266,"cat food savory","cat food dinner",FALSE
"736","{4110,4119}","{4101}",8.14738792396174e-05,0.653225806451613,0.000124725444761883,482.12800847762,243,"beef cat food, treat cat salmon","feast cat food",FALSE
"7582","{9207,9211,9221}","{9202}",0.000118690342595986,0.362704918032787,0.000327236650773113,481.864550549491,354,"food baby pear, chicken food stage, baby food stage","dinner vegetable turkey",FALSE
"7554","{9207,9211,9216}","{9202}",7.44329267127368e-05,0.360975609756098,0.000206199324001501,479.567111738823,222,"food baby pear, chicken food stage, stage just apple","dinner vegetable turkey",FALSE
"7574","{9207,9211,9212}","{9202}",9.62263512007003e-05,0.349573690621194,0.000275267715455662,464.419314269903,287,"food baby pear, chicken food stage, apple food baby","dinner vegetable turkey",FALSE
"7525","{4101,4109,4111}","{4110}",4.96219511418246e-05,0.522968197879859,9.48852173860564e-05,463.254921756689,148,"feast cat food, cat food tuna, food cat salmon","beef cat food",FALSE
"550","{4109,4111}","{4101}",9.48852173860564e-05,0.627494456762749,0.000151212837601101,463.136406709279,283,"cat food tuna, food cat salmon","feast cat food",FALSE
