"","LHS","RHS","support","confidence","coverage","lift","count","LHS.name","RHS.name","cross.aisle"
"1","{607}","{12404}",7.07448087224661e-05,0.308479532163743,0.000229333882304108,410.739257649332,211,"margarita lime mixer","tequila silver agave",TRUE
"2","{6909,8105}","{8920}",5.46512029467392e-05,0.43236074270557,0.000126401862030188,300.661684662448,163,"cream soup condense, bean green cut","french dress salad",TRUE
"3","{9705,9715}","{10502}",6.26980058346027e-05,0.601286173633441,0.000104273154088564,281.180100102946,187,"frost chocolate supreme, frost vanilla funfetti","cake chocolate moist",TRUE
"4","{6403,9807}","{9404}",7.57740605273808e-05,0.684848484848485,0.000110643539708122,279.884287932767,226,"brain dream power, apple honey juice","mate yerba loose",TRUE
"5","{9404,9415,9807}","{6403}",5.06278015028075e-05,0.65938864628821,7.67799108883637e-05,266.846711855569,151,"mate yerba loose, mint tea green, apple honey juice","brain dream power",TRUE
"6","{2118,5007}","{12022}",0.000102596736820259,0.864406779661017,0.000118690342595986,266.144038926886,306,"vegan wedge chao, fruit roll strip","yog oh chia",TRUE
"7","{3116,3119}","{9805}",6.33685727419246e-05,0.333922261484099,0.000189770434772113,264.596220752301,189,"smoothie fruit juice, blueberry smoothie lemonade","strawberry juice kiwi",TRUE
"8","{6909,8920}","{8105}",5.46512029467392e-05,0.357456140350877,0.000152889254869405,260.222399038235,163,"cream soup condense, french dress salad","bean green cut",TRUE
"9","{9705}","{10502}",0.000341989122734196,0.514372163388805,0.000664867088609717,240.536408009947,1020,"frost chocolate supreme","cake chocolate moist",TRUE
"10","{10502}","{9705}",0.000341989122734196,0.159924741298213,0.00213843786744971,240.536408009947,1020,"cake chocolate moist","frost chocolate supreme",TRUE
"11","{9716}","{10502}",0.000137801499454661,0.508034610630408,0.00027124431401173,237.572771397042,411,"cream frost cheese","cake chocolate moist",TRUE
"12","{9715}","{10502}",0.000321201548607216,0.494069107787519,0.000650114616648634,231.042068281714,958,"frost vanilla funfetti","cake chocolate moist",TRUE
"13","{10502}","{9715}",0.000321201548607216,0.150203825650674,0.00213843786744971,231.042068281714,958,"cake chocolate moist","frost vanilla funfetti",TRUE
"14","{9404,9807}","{6403}",7.57740605273808e-05,0.510158013544018,0.000148530569971813,206.454856642296,226,"mate yerba loose, apple honey juice","brain dream power",TRUE
"15","{9415,9807}","{6403}",5.16336518637904e-05,0.451612903225806,0.000114331657698393,182.76234954261,154,"mint tea green, apple honey juice","brain dream power",TRUE
"16","{6403,9404,9415}","{9807}",5.06278015028075e-05,0.611336032388664,8.28150130542613e-05,178.304409811934,151,"brain dream power, mate yerba loose, mint tea green","apple honey juice",TRUE
"17","{8105,8920}","{6909}",5.46512029467392e-05,0.705627705627706,7.74504777956856e-05,170.286481029826,163,"bean green cut, french dress salad","cream soup condense",TRUE
"18","{12022,2118}","{5007}",0.000102596736820259,0.552346570397112,0.000185747033328181,168.929636575521,306,"vegan wedge chao, yog oh chia","fruit roll strip",TRUE
"19","{4527,7810}","{1724}",0.000145848302342525,0.622317596566524,0.000234363134109023,162.316919104249,435,"chocolate bar milk, cracker graham honey","marshmallow vanilla puff",TRUE
"20","{1724,4527}","{7810}",0.000145848302342525,0.523465703971119,0.000278620549992272,152.377821476163,435,"marshmallow vanilla puff, chocolate bar milk","cracker graham honey",TRUE
"21","{6403,9807}","{9415}",5.16336518637904e-05,0.466666666666667,0.000110643539708122,143.180447827727,154,"brain dream power, apple honey juice","mint tea green",TRUE
"22","{1903,5912}","{3003}",4.99572345954855e-05,0.172055427251732,0.000290355470870406,138.543219925778,149,"cider vinegar apple, add bean salt","bean refried spicy",TRUE
"23","{6403,9415}","{9807}",5.16336518637904e-05,0.473846153846154,0.000108967122439817,138.20362996284,154,"brain dream power, mint tea green","apple honey juice",TRUE
"24","{2703,6201}","{2801}",6.63861238248734e-05,0.445945945945946,0.000148865853425474,132.015536181343,198,"ale pale india, chardonnay reserve unoaked","cabernet sauvignon california",TRUE
"25","{2703,6206}","{2808}",6.77272576395173e-05,0.327922077922078,0.000206534607455162,126.886912484246,202,"ale pale india, sauvignon blanc valley","noir pinot california",TRUE
"26","{6201,6206}","{2808}",9.72322015616833e-05,0.32474804031355,0.000299408124119252,125.658743174003,290,"chardonnay reserve unoaked, sauvignon blanc valley","noir pinot california",TRUE
"27","{10508}","{11902}",0.000143836601620559,0.16916403785489,0.000850278838484237,118.715381239562,429,"pudding fill pie","whip top cool",TRUE
"28","{10506}","{7101}",0.000107290705171513,0.228245363766049,0.000470067402032689,113.857407249672,320,"gelatin dessert sugar","gelatin snack sugar",TRUE
"29","{10806,917}","{13118}",7.1750659083449e-05,0.202843601895735,0.000353724043612331,113.251850931809,214,"sauce marinara pasta, ricotta cheese skim","lasagna wheat pasta",TRUE
"30","{2703,2801}","{6201}",6.63861238248734e-05,0.27538247566064,0.000241068803182242,112.435630138825,198,"ale pale india, cabernet sauvignon california","chardonnay reserve unoaked",TRUE
"31","{10806,906}","{13118}",8.28150130542613e-05,0.201303993480033,0.000411392797642019,112.392255158717,247,"tomato sauce basil, ricotta cheese skim","lasagna wheat pasta",TRUE
"32","{6201,6202}","{2801}",5.66629036687051e-05,0.367391304347826,0.000154230388684049,108.760625525947,169,"chardonnay reserve unoaked, pinot grigio california","cabernet sauvignon california",TRUE
"33","{9404,9415}","{6403}",8.28150130542613e-05,0.263888888888889,0.000313825312626674,106.792682421227,247,"mate yerba loose, mint tea green","brain dream power",TRUE
"34","{2702,6201}","{2801}",7.44329267127368e-05,0.354632587859425,0.000209887441991771,104.98360094816,222,"beer import bottle, chardonnay reserve unoaked","cabernet sauvignon california",TRUE
"35","{2703,2808}","{6206}",6.77272576395173e-05,0.355008787346221,0.000190776285133096,104.679368631563,202,"ale pale india, noir pinot california","sauvignon blanc valley",TRUE
"36","{6201,6206}","{2801}",0.000104943720995886,0.3505039193729,0.000299408124119252,103.761371238666,313,"chardonnay reserve unoaked, sauvignon blanc valley","cabernet sauvignon california",TRUE
"37","{6403,9404}","{9807}",7.57740605273808e-05,0.352574102964119,0.000214916693796686,102.832998569307,226,"brain dream power, mate yerba loose","apple honey juice",TRUE
"38","{2703,6206}","{2801}",7.14153756297881e-05,0.345779220779221,0.000206534607455162,102.362695852535,213,"ale pale india, sauvignon blanc valley","cabernet sauvignon california",TRUE
"39","{2702,6206}","{2808}",6.87331080005002e-05,0.258838383838384,0.000265544495299494,100.155511229314,205,"beer import bottle, sauvignon blanc valley","noir pinot california",TRUE
"40","{2702,6201}","{2808}",5.39806360394173e-05,0.257188498402556,0.000209887441991771,99.5171008172083,161,"beer import bottle, chardonnay reserve unoaked","noir pinot california",TRUE
"41","{10806,8111}","{13118}",5.23042187711124e-05,0.17787913340935,0.000294043588860677,99.3136629032554,156,"tomato sauce herb, ricotta cheese skim","lasagna wheat pasta",TRUE
"42","{10806,11615}","{13118}",7.208594253711e-05,0.174230145867099,0.000413739781817645,97.2763563807678,215,"ricotta cheese skim, spinach chop cut","lasagna wheat pasta",TRUE
"43","{1724,7810}","{4527}",0.000145848302342525,0.470779220779221,0.000309801911182742,95.8380339713525,435,"marshmallow vanilla puff, cracker graham honey","chocolate bar milk",TRUE
"44","{2702,6206}","{2801}",8.58325641372101e-05,0.323232323232323,0.000265544495299494,95.6880286738351,256,"beer import bottle, sauvignon blanc valley","cabernet sauvignon california",TRUE
"45","{6202,6206}","{2801}",7.34270763517539e-05,0.321114369501466,0.000228663315396786,95.0610405827263,219,"pinot grigio california, sauvignon blanc valley","cabernet sauvignon california",TRUE
"46","{10806,8119}","{13118}",5.09630849564685e-05,0.169832402234637,0.000300078691026574,94.8210035786818,152,"tomato sun paste, ricotta cheese skim","lasagna wheat pasta",TRUE
"47","{2702,2801}","{6201}",7.44329267127368e-05,0.230529595015576,0.000322877965875521,94.1226932434363,222,"beer import bottle, cabernet sauvignon california","chardonnay reserve unoaked",TRUE
"48","{6202,6206}","{2808}",5.53217698540612e-05,0.241935483870968,0.000228663315396786,93.6150647839697,165,"pinot grigio california, sauvignon blanc valley","noir pinot california",TRUE
"49","{10806,904}","{13118}",5.36453525857563e-05,0.162932790224033,0.000329248351495079,90.9688050197452,160,"marinara sauce spicy, ricotta cheese skim","lasagna wheat pasta",TRUE
"50","{2126,9612}","{916}",6.67214072785344e-05,0.277932960893855,0.000240062952821259,90.2208566006669,199,"part skim cheese, pepperoni slice turkey","pizza sauce authentic",TRUE
"51","{2702,6202}","{2801}",4.82808173271807e-05,0.303157894736842,0.000159259640488964,89.7452984719864,144,"beer import bottle, pinot grigio california","cabernet sauvignon california",TRUE
"52","{2702,2808}","{6201}",5.39806360394173e-05,0.219346049046322,0.000246098054987157,89.5565746651821,161,"beer import bottle, noir pinot california","chardonnay reserve unoaked",TRUE
"53","{10806,8118}","{13118}",7.30917928980929e-05,0.159356725146199,0.000458667764608216,88.9722126434894,218,"tomato crush puree, ricotta cheese skim","lasagna wheat pasta",TRUE
"54","{2801,2808}","{6202}",8.11385957859564e-05,0.151629072681704,0.000535112392042919,88.5879416955709,242,"cabernet sauvignon california, noir pinot california","pinot grigio california",TRUE
"55","{2801,2808}","{6201}",0.000115672791513037,0.216165413533835,0.000535112392042919,88.2579562355581,345,"cabernet sauvignon california, noir pinot california","chardonnay reserve unoaked",TRUE
"56","{2703,2801}","{6206}",7.14153756297881e-05,0.296244784422809,0.000241068803182242,87.3519701458265,213,"ale pale india, cabernet sauvignon california","sauvignon blanc valley",TRUE
"57","{2126,916}","{9612}",6.67214072785344e-05,0.279102384291725,0.000239057102460276,86.97493421499,199,"pizza sauce authentic, part skim cheese","pepperoni slice turkey",TRUE
"58","{12410}","{11514}",8.24797296006003e-05,0.152605459057072,0.000540476927301495,86.2196560932239,246,"gin spin london","tonic water elderflower",TRUE
"59","{7706,7717}","{11501}",7.81210447030076e-05,0.18927701056052,0.000412733931456662,84.9809328803687,233,"beverage kickstart kombucha, orange soda blood","sparkle beverage grapefruit",TRUE
"60","{2801,2808}","{6206}",0.000153559821776727,0.286967418546366,0.000535112392042919,84.616407429845,458,"cabernet sauvignon california, noir pinot california","sauvignon blanc valley",TRUE
"61","{2702,2808}","{6206}",6.87331080005002e-05,0.279291553133515,0.000246098054987157,82.3530698062203,205,"beer import bottle, noir pinot california","sauvignon blanc valley",TRUE
"62","{10617,7210}","{4302}",6.20274389272807e-05,0.564024390243902,0.0001099729728008,82.1442213558446,185,"relish dill pickle, frank beef bun","bun dog potato",TRUE
"63","{4302,4807}","{10617}",5.19689353174514e-05,0.549645390070922,9.45499339323955e-05,81.4946017002097,155,"bun dog potato, pop tart frost","frank beef bun",TRUE
"64","{2702,2801}","{6206}",8.58325641372101e-05,0.265835929387331,0.000322877965875521,78.3854885842921,256,"beer import bottle, cabernet sauvignon california","sauvignon blanc valley",TRUE
"65","{13118,917}","{10806}",7.1750659083449e-05,0.456289978678038,0.000157247939766998,78.2400903872693,214,"sauce marinara pasta, lasagna wheat pasta","ricotta cheese skim",TRUE
"66","{11615,13118}","{10806}",7.208594253711e-05,0.447916666666667,0.000160936057757269,76.8043177005481,215,"spinach chop cut, lasagna wheat pasta","ricotta cheese skim",TRUE
"67","{13118,904}","{10806}",5.36453525857563e-05,0.423280423280423,0.000126737145483849,72.5799384693256,160,"marinara sauce spicy, lasagna wheat pasta","ricotta cheese skim",TRUE
"68","{2118,4210}","{1404}",5.02925180491465e-05,0.210674157303371,0.000238721819006615,72.5154551112898,150,"vegan wedge chao, crispy chick chik","slice deli veggie",TRUE
"69","{9404,9415}","{9807}",7.67799108883637e-05,0.24465811965812,0.000313825312626674,71.3578446552361,229,"mate yerba loose, mint tea green","apple honey juice",TRUE
"70","{10617,7207}","{4302}",0.000101590886459276,0.488709677419355,0.000207875741269806,71.1754254161226,303,"yellow mustard bottle, frank beef bun","bun dog potato",TRUE
"71","{4302,5903}","{10617}",9.99144691909711e-05,0.479099678456592,0.000208546308177128,71.0349584947497,298,"bun dog potato, chili bean con","frank beef bun",TRUE
"72","{4302,7707}","{10617}",0.000116343358420359,0.472108843537415,0.000246433338440818,69.9984441937443,347,"bun dog potato, coke zero diet","frank beef bun",TRUE
"73","{10617,11001}","{4302}",8.6838414498193e-05,0.476979742173112,0.00018205891533791,69.467083695403,259,"frank beef bun, dill pickle kosher","bun dog potato",TRUE
"74","{4302,7714}","{10617}",0.00012003147641063,0.466753585397653,0.000257162408957969,69.2044329330561,358,"bun dog potato, colon calorie cherrytree","frank beef bun",TRUE
"75","{13118,8119}","{10806}",5.09630849564685e-05,0.403183023872679,0.000126401862030188,69.1338352900128,152,"tomato sun paste, lasagna wheat pasta","ricotta cheese skim",TRUE
"76","{13118,8118}","{10806}",7.30917928980929e-05,0.401473296500921,0.00018205891533791,68.8406681586822,218,"tomato crush puree, lasagna wheat pasta","ricotta cheese skim",TRUE
"77","{2801,6201}","{2703}",6.63861238248734e-05,0.15505090054816,0.000428156970325067,68.8370375827351,198,"cabernet sauvignon california, chardonnay reserve unoaked","ale pale india",TRUE
"78","{4302,5108}","{10617}",5.53217698540612e-05,0.463483146067416,0.000119360909503308,68.7195327493794,165,"bun dog potato, chunky salsa medium","frank beef bun",TRUE
"79","{4302,7822}","{10617}",5.36453525857563e-05,0.461095100864553,0.000116343358420359,68.365463023398,160,"bun dog potato, thin wheat cracker","frank beef bun",TRUE
"80","{2808,6206}","{2703}",6.77272576395173e-05,0.153262518968134,0.000441903591925167,68.0430603171964,202,"noir pinot california, sauvignon blanc valley","ale pale india",TRUE
"81","{11001,4302}","{10617}",8.6838414498193e-05,0.452006980802792,0.00019211741894774,67.0179892921231,259,"bun dog potato, dill pickle kosher","frank beef bun",TRUE
"82","{13118,906}","{10806}",8.28150130542613e-05,0.382352941176471,0.000216593111064991,65.5620988305636,247,"tomato sauce basil, lasagna wheat pasta","ricotta cheese skim",TRUE
"83","{10617,5903}","{4302}",9.99144691909711e-05,0.446107784431138,0.000223969347045532,64.9709076889923,298,"chili bean con, frank beef bun","bun dog potato",TRUE
"84","{4302,4902}","{10617}",7.1750659083449e-05,0.437627811860941,0.000163953608840218,64.8860244528565,214,"bun dog potato, turkey grind lean","frank beef bun",TRUE
"85","{2116,2118}","{1404}",4.86161007808416e-05,0.187823834196891,0.000258838826226274,64.6502209472328,145,"shred cheddar cheese, vegan wedge chao","slice deli veggie",TRUE
"86","{4205,4210}","{1404}",5.39806360394173e-05,0.186342592592593,0.000289684903963084,64.1403676722019,161,"roast chick pizza, crispy chick chik","slice deli veggie",TRUE
"87","{10617,7205}","{4302}",0.000197817237659976,0.433186490455213,0.00045665606388625,63.0890570972062,590,"ketchup tomato spicy, frank beef bun","bun dog potato",TRUE
"88","{4302,7704}","{10617}",5.53217698540612e-05,0.419847328244275,0.000131766397288764,62.2497548569442,165,"bun dog potato, soda lime lemon","frank beef bun",TRUE
"89","{10617,4807}","{4302}",5.19689353174514e-05,0.423497267759563,0.000122713744039918,61.6779237000611,155,"pop tart frost, frank beef bun","bun dog potato",TRUE
"90","{4302,5405}","{10617}",6.37038561955856e-05,0.413943355119826,0.000153895105230388,61.3743869435271,190,"bun dog potato, roll towel paper","frank beef bun",TRUE
"91","{4302,7207}","{10617}",0.000101590886459276,0.413934426229508,0.000245427488079835,61.3730630784075,303,"bun dog potato, yellow mustard bottle","frank beef bun",TRUE
"92","{12319,4302}","{10617}",4.86161007808416e-05,0.413105413105413,0.000117684492235003,61.2501472938439,145,"bun dog potato, salad kit chop","frank beef bun",TRUE
"93","{10617,5108}","{4302}",5.53217698540612e-05,0.416666666666667,0.000132772247649747,60.6831184790924,165,"chunky salsa medium, frank beef bun","bun dog potato",TRUE
"94","{4302,7507}","{10617}",5.16336518637904e-05,0.406332453825858,0.00012707242893751,60.2459368905729,154,"bun dog potato, laundry detergent liquid","frank beef bun",TRUE
"95","{10617,9304}","{4302}",8.01327454249735e-05,0.412780656303972,0.000194129119669706,60.1171619336915,239,"bagel slice pre, frank beef bun","bun dog potato",TRUE
"96","{10724,4302}","{10617}",5.7333470576027e-05,0.40521327014218,0.000141489617444932,60.0799982141494,171,"bun dog potato, cream sour onion","frank beef bun",TRUE
"97","{10702,12119}","{12506}",5.56570533077221e-05,0.377272727272727,0.00014752471961083,60.0670020818876,166,"chip pita naked, almond cereal special","trail caramel cashew",TRUE
"98","{4302,7708}","{10617}",6.47097065565685e-05,0.40461215932914,0.000159930207396286,59.9908729578091,193,"bun dog potato, diet soda caffeine","frank beef bun",TRUE
"99","{3608,4302}","{10617}",5.06278015028075e-05,0.403743315508021,0.000125396011669205,59.8620515714737,151,"butter cream salt, bun dog potato","frank beef bun",TRUE
"100","{4302,9304}","{10617}",8.01327454249735e-05,0.403035413153457,0.000198823088020959,59.757092589792,239,"bun dog potato, bagel slice pre","frank beef bun",TRUE
"101","{13118,8111}","{10806}",5.23042187711124e-05,0.348214285714286,0.000150206987240118,59.7083400064061,156,"tomato sauce herb, lasagna wheat pasta","ricotta cheese skim",TRUE
"102","{12022}","{5007}",0.000634021010872907,0.195210075358728,0.00324789081561388,59.7030358358542,1891,"yog oh chia","fruit roll strip",TRUE
"103","{5007}","{12022}",0.000634021010872907,0.193908941755537,0.00326968424010185,59.7030358358542,1891,"fruit roll strip","yog oh chia",TRUE
"104","{4302,6901}","{10617}",6.10215885662978e-05,0.400881057268722,0.000152218687962083,59.4376714176718,182,"bun dog potato, noodle soup chicken","frank beef bun",TRUE
"105","{4302,8911}","{10617}",5.39806360394173e-05,0.400497512437811,0.000134783948371713,59.3808041468933,161,"bun dog potato, ranch dress salad","frank beef bun",TRUE
"106","{3804,4302}","{10617}",7.208594253711e-05,0.399628252788104,0.000180382498069606,59.2519211066521,215,"chicken grill broccoli, bun dog potato","frank beef bun",TRUE
"107","{12805,4302}","{10617}",0.000103267303727581,0.39741935483871,0.000259844676587257,58.9244131136184,308,"bun dog potato, flour tortilla burrito","frank beef bun",TRUE
"108","{4302,6101}","{10617}",5.56570533077221e-05,0.392434988179669,0.000141824900898593,58.1853930418702,166,"bun dog potato, cookie sandwich chocolate","frank beef bun",TRUE
"109","{4302,7809}","{10617}",5.12983684101295e-05,0.391304347826087,0.000131095830381442,58.0177557125196,153,"bun dog potato, grain cracker bake","frank beef bun",TRUE
"110","{9219,9908}","{5010}",5.833932093701e-05,0.306338028169014,0.000190441001679435,58.0033514635298,174,"apple fruit puree, applesauce pouch apple","apple fruit cinnamon",TRUE
"111","{4302,7812}","{10617}",0.000139477916722966,0.390977443609023,0.000356741594695279,57.9692864095016,416,"bun dog potato, bake cracker snack","frank beef bun",TRUE
"112","{10617,3608}","{4302}",5.06278015028075e-05,0.392207792207792,0.000129084129659476,57.1209406151249,151,"butter cream salt, frank beef bun","bun dog potato",TRUE
"113","{10617,7704}","{4302}",5.53217698540612e-05,0.391923990498812,0.000141154333991271,57.0796078805715,165,"soda lime lemon, frank beef bun","bun dog potato",TRUE
"114","{10617,10724}","{4302}",5.7333470576027e-05,0.391304347826087,0.000146518869249847,56.9893634412346,171,"frank beef bun, cream sour onion","bun dog potato",TRUE
"115","{10617,7707}","{4302}",0.000116343358420359,0.391206313416009,0.000297396423397286,56.9750857603023,347,"coke zero diet, frank beef bun","bun dog potato",TRUE
"116","{12813,4302}","{10617}",6.57155569175515e-05,0.383561643835616,0.000171329844820759,56.869763590354,196,"bun dog potato, taco tortilla flour","frank beef bun",TRUE
